timestamp_utc,latitude,longitude,altitude_km
2026-06-03 09:39:57,3.602590585509765,13.137516360546785,791.5191042943816
2026-06-03 09:40:57,0.04549993117495084,12.353672801588898,791.955764049903
2026-06-03 09:41:57,-3.5110913212544657,11.569957221907911,792.5322913951322
2026-06-03 09:42:57,-7.066537635415579,10.78228260256319,793.2455713133284
2026-06-03 09:43:57,-10.62019226870633,9.98644206196147,794.0903068970896
2026-06-03 09:44:57,-14.171402665710648,9.177976492401823,795.0590844434007
2026-06-03 09:45:57,-17.719504350714363,8.352025564471798,796.142473384167
2026-06-03 09:46:57,-21.26381239572553,7.503151295934032,797.3291591725269
2026-06-03 09:47:57,-24.80360929360273,6.625120120942258,798.6061066423829
2026-06-03 09:48:57,-28.33812766542265,5.71062416584491,799.9587508255157
2026-06-03 09:49:57,-31.86652559374422,4.750914212978883,801.3712117588508
2026-06-03 09:50:57,-35.38785135634368,3.735303868954916,802.8265294526209
2026-06-03 09:51:57,-38.90099269092905,2.6504837508272736,804.3069149224993
2026-06-03 09:52:57,-42.404603011286035,1.4795508092310072,805.7940130174069
2026-06-03 09:53:57,-45.89699241777894,0.20060178578254476,807.2691726950385
2026-06-03 09:54:57,-49.37596338976426,-1.2153561624260003,808.7137204060283
2026-06-03 09:55:57,-52.838556764943164,-2.807593542227885,810.1092323349335
2026-06-03 09:56:57,-56.28064701427355,-4.630667822989448,811.4378014034094
2026-06-03 09:57:57,-59.696274237541765,-6.76255135243347,812.6822951565997
2026-06-03 09:58:57,-63.07649569164565,-9.318286872777737,813.8266009163962
2026-06-03 09:59:57,-66.40731717293649,-12.473780908788003,814.8558548842456
2026-06-03 10:00:57,-69.66576859955566,-16.50870960935878,815.7566522004298
2026-06-03 10:01:57,-72.81204169636987,-21.88555328761327,816.5172353079962
2026-06-03 10:02:57,-75.77297604419459,-29.391337438308625,817.1276583189398
2026-06-03 10:03:57,-78.40714739381433,-40.34124238070182,817.5799254328009
2026-06-03 10:04:57,-80.441821758233,-56.53756595396861,817.8681018087651
2026-06-03 10:05:57,-81.43929744953992,-78.55538760765225,817.9883956390664
2026-06-03 10:06:57,-81.04634356710694,-102.11194977680626,817.9392105130237
2026-06-03 10:07:57,-79.4165952994118,-121.06662097288141,817.7211674980717
2026-06-03 10:08:57,-77.00695424458436,-134.14494236999994,817.3370966969233
2026-06-03 10:09:57,-74.16896606626574,-142.9943969037058,816.7919983719567
2026-06-03 10:10:57,-71.09376607542573,-149.20198153216455,816.0929740598459
2026-06-03 10:11:57,-67.87920790693812,-153.7662676813078,815.2491284346619
2026-06-03 10:12:57,-64.5772119321549,-157.27301677318425,814.2714430169859
2026-06-03 10:13:57,-61.2169639440818,-160.0710458536699,813.1726231712273
2026-06-03 10:14:57,-57.81583089439527,-162.3758450805766,811.9669201828102
2026-06-03 10:15:57,-54.384684392414826,-164.32594411749372,810.6699305591645
2026-06-03 10:16:57,-50.93063901471884,-166.01378688089864,809.298375050443
2026-06-03 10:17:57,-47.45853848127022,-167.50316906895085,807.8698602314377
2026-06-03 10:18:57,-43.971802827991546,-168.83944970070797,806.4026258199845
2026-06-03 10:19:57,-40.472932731831115,-170.05574890472053,804.9152812181962
2026-06-03 10:20:57,-36.96382127916238,-171.17683734366796,803.4265350440437
2026-06-03 10:21:57,-33.44595304454414,-172.2216527723858,801.954921658813
2026-06-03 10:22:57,-29.920534739744667,-173.2049743692026,800.5185288810075
2026-06-03 10:23:57,-26.388582907686754,-174.13856565861332,799.1347311975418
2026-06-03 10:24:57,-22.85098383743683,-175.0319736466368,797.819932828004
2026-06-03 10:25:57,-19.308535033452998,-175.89310064920437,796.589324959048
2026-06-03 10:26:57,-15.76197415530387,-176.72862306714984,795.4566613360998
2026-06-03 10:27:57,-12.211999292623897,-177.54430567265317,794.434056175185
2026-06-03 10:28:57,-8.659283181192196,-178.3452440118355,793.5318080374282
2026-06-03 10:29:57,-5.104483180828875,-179.13605745216356,792.7582528967279
2026-06-03 10:30:57,-1.5482483421714397,-179.92104899173935,792.1196491325026
2026-06-03 10:31:57,2.008775418620964,179.295656101114,791.620096606175
2026-06-03 10:32:57,5.565941202567735,178.50998320106632,791.2614913451781
2026-06-03 10:33:57,9.122597329319548,177.71778446655472,791.0435166788365
2026-06-03 10:34:57,12.678083144215377,176.91471023654867,790.9636709653241
2026-06-03 10:35:57,16.231723677628597,176.09606718612534,791.0173313381949
2026-06-03 10:36:57,19.782822290318343,175.25665325033586,791.1978522051655
2026-06-03 10:37:57,23.330650232042053,174.39055660650732,791.4966965706412
